"year","health_systems_costs","monetized_dalys_averted","in_2023_prices","cash_flow","run_id"
2007,0,0,173925704.21992,-173925704.21992,74
2008,0,0,118242843.004781,-118242843.004781,74
2009,0,0,85861724.9480041,-85861724.9480041,74
2010,0,0,116044460.205488,-116044460.205488,74
2011,1328333341.08902,0,128294997.271244,-1456628338.36027,74
2012,1285744056.00476,3889699179.71493,103748180.04707,2500206943.6631,74
2013,840872693.907795,4207103133.1034,106873147.128942,3259357292.06666,74
2014,1163326139.99359,16652362565.641,126230106.011086,15362806319.6363,74
2015,885764595.324766,13167022931.8157,135116138.984205,12146142197.5067,74
2016,1104781472.22831,22457446972.1743,97182201.0538521,21255483298.8922,74
2017,1265457009.36823,25552843573.0726,120315216.056736,24167071347.6476,74
2018,1352800393.06322,30214225478.3557,89798807.4848151,28771626277.8076,74
2019,1017789860.54236,32723474934.0128,93514565.4752602,31612170507.9952,74
2020,1710639002.99616,43201238492.7344,108765448.735646,41381834041.0026,74
2021,2250842979.05888,54696124607.9623,100845446.198309,52344436182.7051,74
2022,1929001170.82716,51468449817.0474,81301804.902422,49458146841.3179,74
2023,3091118346.56587,48264530586.1085,77988063,45095424176.5426,74
2000,0,0,29852923.0011034,-29852923.0011034,75
2001,0,0,50108598.4343931,-50108598.4343931,75
2002,0,0,32524926.5109877,-32524926.5109877,75
2003,0,0,61183848.4315702,-61183848.4315702,75
2004,0,0,76280271.9680802,-76280271.9680802,75
2005,0,0,114095421.233847,-114095421.233847,75
2006,0,0,71055328.531221,-71055328.531221,75
2007,0,0,173925704.21992,-173925704.21992,75
2008,0,0,118242843.004781,-118242843.004781,75
2009,0,0,85861724.9480041,-85861724.9480041,75
2010,0,0,116044460.205488,-116044460.205488,75
2011,1225625634.83327,0,128294997.271244,-1353920632.10451,75
2012,1099405603.85619,3889699179.71493,103748180.04707,2686545395.81167,75
2013,936805835.628102,4207103133.1034,106873147.128942,3163424150.34635,75
2014,1128118382.61509,16652362565.641,126230106.011086,15398014077.0148,75
2015,836562944.318501,13167022931.8157,135116138.984205,12195343848.513,75
2016,1081981672.29248,22457446972.1743,97182201.0538521,21278283098.828,75
2017,1377727132.42983,25552843573.0726,120315216.056736,24054801224.586,75
2018,1416075510.93552,30214225478.3557,89798807.4848151,28708351159.9353,75
2019,1293857614.09675,32723474934.0128,93514565.4752602,31336102754.4408,75
2020,2206616416.83222,43201238492.7344,108765448.735646,40885856627.1665,75
2021,2047555431.88345,54696124607.9623,100845446.198309,52547723729.8805,75
2022,2090046320.47585,51468449817.0474,81301804.902422,49297101691.6692,75
2023,2327535988.4366,48264530586.1085,77988063,45859006534.6719,75
2000,0,0,29852923.0011034,-29852923.0011034,76
2001,0,0,50108598.4343931,-50108598.4343931,76
2002,0,0,32524926.5109877,-32524926.5109877,76
2003,0,0,61183848.4315702,-61183848.4315702,76
2004,0,0,76280271.9680802,-76280271.9680802,76
2005,0,0,114095421.233847,-114095421.233847,76
2006,0,0,71055328.531221,-71055328.531221,76
2007,0,0,173925704.21992,-173925704.21992,76
2008,0,0,118242843.004781,-118242843.004781,76
2009,0,0,85861724.9480041,-85861724.9480041,76
2010,0,0,116044460.205488,-116044460.205488,76
2011,1087604387.51888,0,128294997.271244,-1215899384.79013,76
2012,1327121387.95859,3889699179.71493,103748180.04707,2458829611.70927,76
2013,859123192.694859,4207103133.1034,106873147.128942,3241106793.27959,76
2014,985683951.793414,16652362565.641,126230106.011086,15540448507.8365,76
2015,899219736.765935,13167022931.8157,135116138.984205,12132687056.0656,76
2016,961954755.261875,22457446972.1743,97182201.0538521,21398310015.8586,76
2017,1470841674.92438,25552843573.0726,120315216.056736,23961686682.0915,76
2018,1443854442.67017,30214225478.3557,89798807.4848151,28680572228.2007,76
2019,1027570957.75816,32723474934.0128,93514565.4752602,31602389410.7794,76
2020,1854540212.29784,43201238492.7344,108765448.735646,41237932831.7009,76
2021,1812944232.49985,54696124607.9623,100845446.198309,52782334929.2641,76
2022,1776056457.62325,51468449817.0474,81301804.902422,49611091554.5218,76
2023,2885831375.5816,48264530586.1085,77988063,45300711147.5269,76
2000,0,0,29852923.0011034,-29852923.0011034,77
2001,0,0,50108598.4343931,-50108598.4343931,77
2002,0,0,32524926.5109877,-32524926.5109877,77
2003,0,0,61183848.4315702,-61183848.4315702,77
2004,0,0,76280271.9680802,-76280271.9680802,77
2005,0,0,114095421.233847,-114095421.233847,77
2006,0,0,71055328.531221,-71055328.531221,77
2007,0,0,173925704.21992,-173925704.21992,77
2008,0,0,118242843.004781,-118242843.004781,77
2009,0,0,85861724.9480041,-85861724.9480041,77
2010,0,0,116044460.205488,-116044460.205488,77
2011,973772185.881108,0,128294997.271244,-1102067183.15235,77
2012,1212806397.33251,3889699179.71493,103748180.04707,2573144602.33535,77
2013,994454551.996231,4207103133.1034,106873147.128942,3105775433.97822,77
2014,968115552.355053,16652362565.641,126230106.011086,15558016907.2749,77
2015,885935274.292467,13167022931.8157,135116138.984205,12145971518.539,77
2016,915729805.404542,22457446972.1743,97182201.0538521,21444534965.7159,77
