"run_id","code","health_systems_costs","monetized_dalys_averted","dalys_averted"
7,"BEN",378313177.112979,7926255464.38368,1967367.10247535
7,"BFA",710277697.985483,14262008046.4322,3539957.24360257
7,"BGD",64708.7163825847,111639.123792078,27.7098234449582
7,"BRA",963966.262839193,1468197.95306894,364.419790122685
7,"CIV",899659892.906475,13716705998.6561,3404608.42542131
7,"CMR",840643699.859876,12111557584.8726,3006196.31291015
7,"COD",1306639374.1295,55192606044.589,13699295.703996
7,"COL",4216400.21905018,920394.953334239,228.450213421794
7,"ETH",428982888.341645,7289158339.63901,1809233.92976392
7,"GHA",744282184.124448,12895020162.1306,3200658.69271156
7,"GIN",200522205.819688,3870005539.12022,960569.794687347
7,"GUY",158567.301268864,154011.8278924,38.2271054660188
7,"HTI",95495.4750451709,196334.5394715,48.7319788986779
7,"IDN",11576467.8201422,7347957.62044583,1823.82843422171
7,"IND",408881225.072739,4166695279.94088,1034210.82712131
7,"KHM",336815.838395736,771789.788195138,191.56508973807
7,"MDG",58416537.6412286,2827178903.28353,701730.948759527
7,"MLI",614808871.579533,13851314286.9697,3438019.39978853
7,"MMR",1367639.04253661,2376622.31666862,589.898796705784
7,"MOZ",618654126.112724,16934526024.0629,4203299.97505885
7,"MWI",122775262.021212,2369434834.06672,588114.799598433
7,"NER",432641394.683178,14110557910.7145,3502365.97291803
7,"NGA",7240571915.71163,113135623953.678,28081268.0949586
7,"NIC",132159.786320682,111059.882088738,27.5660505024062
7,"PAK",10117105.5682258,11880621.009992,2948.875801072
7,"PER",900952.372567856,357535.933535208,88.7435986325069
7,"PNG",7960242.54252145,11814649.7074444,2932.50113703009
7,"RWA",128024156.489781,3227650552.37237,801131.573863238
7,"SLB",983306.417403603,1120108.73956263,278.020951420595
7,"TZA",808046593.13931,13761740308.3285,3415786.34161771
7,"UGA",1028212830.25107,21450438588.6285,5324189.63816689
7,"VEN",6480497.76965593,2501365.17907772,620.861084620305
7,"YEM",6919206.18577262,7610142.9128678,1888.90515568012
8,"AFG",863786.814385738,3615718.8059306,897.453565880295
8,"AGO",1543200964.57444,13343686299.5804,3312021.61846884
8,"BEN",406623320.59228,7926255464.38368,1967367.10247535
8,"BFA",638993893.230918,14262008046.4322,3539957.24360257
8,"BGD",66243.9104556878,111639.123792078,27.7098234449582
8,"BRA",1005494.64817146,1468197.95306894,364.419790122685
8,"CIV",917032959.107829,13716705998.6561,3404608.42542131
8,"CMR",806740904.454188,12111557584.8726,3006196.31291015
8,"COD",1183453870.42523,55192606044.589,13699295.703996
8,"COL",5365925.33887358,920394.953334239,228.450213421794
8,"ETH",354978679.744677,7289158339.63901,1809233.92976392
8,"GHA",777523063.223386,12895020162.1306,3200658.69271156
8,"GIN",221238121.813349,3870005539.12022,960569.794687347
8,"GUY",114972.543537836,154011.8278924,38.2271054660188
8,"HTI",115068.347490069,196334.5394715,48.7319788986779
8,"IDN",10008671.2137451,7347957.62044583,1823.82843422171
8,"IND",503840256.982389,4166695279.94088,1034210.82712131
8,"KHM",459029.550121363,771789.788195138,191.56508973807
8,"MDG",100179346.164079,2827178903.28353,701730.948759527
