"country","year","region","sub_region","distribution","treatment","dalys_averted","doses","daly","dalys_averted_country","dalys_monetized_1","doses_country","mode_sub_region_t","mini_t_price_sub_region","maxi_t_price_sub_region","mode_region_t","mini_t_price_region","maxi_t_price_region","mode_country_t","mini_t_price_country","maxi_t_price_country","mode_global_t","mini_t_price_global","maxi_t_price_global","n_t_cost","n_rdt","mode_country_rdt","mini_rdt_price_country","maxi_rdt_price_country","mode_sub_region_rdt","mini_rdt_price_sub_region","maxi_rdt_price_sub_region","mode_region_rdt","mini_rdt_price_region","maxi_rdt_price_region","mode_global_rdt","mini_rdt_price_global","maxi_rdt_price_global","average_model_prediction","average_mean_value_from_sample","average_high_95_unc_interval","average_low_95_unc_interval","average_sd","mode_country_rdt_imputed","mini_rdt_price_country_imputed","maxi_rdt_price_country_imputed","mode_country_t_imputed","mini_t_price_country_imputed","maxi_t_price_country_imputed"
"Peru",2016,"Americas","Latin America and the Caribbean",0.00401081017858997,"AS-PYR",0,0,11440,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.477420989818545,0.300093193600228,0.477420989818545,NA,NA,NA,0.477420989818545,0.300093193600228,0.477420989818545,0.463780390109443,0.192059643904146,1.43226296945563,23.9207487046306,24.0647411723786,72.6262009203796,5.11173260505274,17.9990584684956,0.477420989818545,0.300093193600228,0.477420989818545,NA,NA,NA
"Peru",2019,"Americas","Latin America and the Caribbean",0.00433398927463469,"AS-PYR",118066.400853704,580000,12800,511.698514994671,6549740.99193179,2513.71377928812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.259304066222631,0.259304066222631,0.707192907879902,NA,NA,NA,0.259304066222631,0.259304066222631,0.707192907879902,0.447888841657271,0.00942923877173203,1.28190501101697,23.9207487046306,24.0647411723786,72.6262009203796,5.11173260505274,17.9990584684956,0.259304066222631,0.259304066222631,0.707192907879902,NA,NA,NA
"Peru",2017,"Americas","Latin America and the Caribbean",0.00484222340000198,"AS-PYR",0,0,11870,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274540290678583,0.274540290678583,0.522933887006825,NA,NA,NA,0.274540290678583,0.274540290678583,0.522933887006825,0.228783575565486,0.0117660124576536,1.50604959457966,23.9207487046306,24.0647411723786,72.6262009203796,5.11173260505274,17.9990584684956,0.274540290678583,0.274540290678583,0.522933887006825,NA,NA,NA
"Peru",2013,"Americas","Latin America and the Caribbean",0.00355090404445189,"AS-PYR",0,0,10620,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769323450208255,0.153864690041651,1.78329175758274,NA,NA,NA,0.769323450208255,0.153864690041651,1.78329175758274,0.538526415145779,0.153864690041651,1.78329175758274,23.9207487046306,24.0647411723786,72.6262009203796,5.11173260505274,17.9990584684956,0.769323450208255,0.153864690041651,1.78329175758274,NA,NA,NA
"Peru",2021,"Americas","Latin America and the Caribbean",0.00258131130614352,"AS-PYR",122137.656055556,600000,12750,315.275312482074,4019760.23414644,1548.78678368611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7009665,0.323523,0.7009665,NA,NA,NA,0.7009665,0.323523,0.7009665,0.1617615,0.1617615,0.9058644,23.9207487046306,24.0647411723786,72.6262009203796,5.11173260505274,17.9990584684956,0.7009665,0.323523,0.7009665,NA,NA,NA
"Peru",2018,"Americas","Latin America and the Caribbean",0.00475910215432517,"AS-PYR",10178.1380046296,50000,12360,48.4387985048518,598703.549519968,237.955107716259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.472397319072757,0.261061676329682,1.21828782287185,NA,NA,NA,0.472397319072757,0.261061676329682,1.21828782287185,0.472397319072757,0.161858239324403,1.66184404246437,23.9207487046306,24.0647411723786,72.6262009203796,5.11173260505274,17.9990584684956,0.472397319072757,0.261061676329682,1.21828782287185,NA,NA,NA
"Peru",2022,"Americas","Latin America and the Caribbean",0.00399686911918997,"AS-PYR",656460.588261158,3224856,14080,2623.7870531863,36942921.7088631,12889.3273602345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0.65,0.9,NA,NA,NA,0.7,0.65,0.9,0.3,0.032,0.9,23.9207487046306,24.0647411723786,72.6262009203796,5.11173260505274,17.9990584684956,0.7,0.65,0.9,NA,NA,NA
"Peru",2014,"Americas","Latin America and the Caribbean",0.00492886916464311,"AS-PYR",0,0,10890,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.03022892562204,0.156006094451337,1.6317354426245,NA,NA,NA,1.03022892562204,0.156006094451337,1.6317354426245,0.529832018891333,0.156006094451337,1.90548198571836,23.9207487046306,24.0647411723786,72.6262009203796,5.11173260505274,17.9990584684956,1.03022892562204,0.156006094451337,1.6317354426245,NA,NA,NA
"Solomon Islands",2012,"Oceania","Melanesia",0.00232087082454579,"AS-PYR",0,0,2230,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22974630231261,0.728139257948257,1.22974630231261,NA,NA,NA,1.22974630231261,0.728139257948257,1.22974630231261,1.03557583352641,0.0118120368511606,2.91255703179303,8.24356877857097,8.35156312938194,24.5687148094964,1.85390302225504,6.13767893775699,1.22974630231261,0.728139257948257,1.22974630231261,NA,NA,NA
"Solomon Islands",2015,"Oceania","Melanesia",0.0023700186655862,"AS-PYR",0,0,2420,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435979893060315,0.435979893060315,0.435979893060315,NA,NA,NA,0.435979893060315,0.435979893060315,0.435979893060315,0.267213482843419,0.236554251654016,2.1095801277112,8.24356877857097,8.35156312938194,24.5687148094964,1.85390302225504,6.13767893775699,0.435979893060315,0.435979893060315,0.435979893060315,NA,NA,NA
"Solomon Islands",2020,"Oceania","Melanesia",0.01280386150511,"AS-PYR",234097.174106481,1150000,2670,2997.34779599701,8002918.61531201,14724.4407308765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.292263776376,0.202336460568,0.33722743428,NA,NA,NA,0.292263776376,0.202336460568,0.33722743428,0.16861371714,0.0089927315808,0.8857840607088,8.24356877857097,8.35156312938194,24.5687148094964,1.85390302225504,6.13767893775699,0.292263776376,0.202336460568,0.33722743428,NA,NA,NA
"Solomon Islands",2011,"Oceania","Melanesia",0.00246379187853596,"AS-PYR",0,0,2140,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.30717112950621,1.30717112950621,1.30717112950621,NA,NA,NA,1.30717112950621,1.30717112950621,1.30717112950621,1.7887604930085,0.564147540102682,2.93821110596772,8.24356877857097,8.35156312938194,24.5687148094964,1.85390302225504,6.13767893775699,1.30717112950621,1.30717112950621,1.30717112950621,NA,NA,NA
