code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
COG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3436.749698,3536.08005,3607.671112,3550.385794,3326.9814,3434.06784,3547.213539,3509.998895,3602.033519,3463.85453,3667.424873,3748.446749,3888.164023,3886.992068,3991.511247,4278.925387,4588.109249,4242.611268,4448.332617,4800.901598,5125.069913,5175.204391,6058.064494,5833.863367,5733.183936,4715.134316,4016.049085,4444.639002,5593.193706,5719.599773,4770.964498,6263.211613,6647.496817,6850.277706
COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5109.420001,5280.777798,5509.364649,5826.183444,6173.636115,6505.565262,6638.839736,6861.091863,6853.84144,6543.867212,6775.930644,6934.882843,7108.823903,7420.460084,7909.346352,8432.333291,9154.089262,9909.290314,10307.06499,10367.34896,10841.12798,11707.46146,12093.07549,12779.88658,13355.36242,13332.0555,14026.83999,14400.61398,15239.40495,16181.5909,15519.21017,17352.08887,20643.29392,20675.75029
COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1467.730536,1400.958957,1523.169698,1577.090989,1498.996239,1558.384259,1539.673971,1601.525969,1612.290422,1637.134499,1820.545772,1866.186536,1898.644093,1939.133142,1991.38849,2069.438077,2145.997073,2177.928848,2262.499236,2303.951644,2372.413663,2471.787247,2678.702628,2832.531215,2937.611929,2949.473422,3139.051607,3347.45653,3304.548452,3312.749571,3261.594968,3441.211556,3709.900074,3883.126476
CPV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1044.457524,1068.867385,1185.580879,1291.310531,1540.217583,1762.158884,1962.921025,2181.781401,2443.036556,2714.09656,3124.494884,3216.646512,3388.448145,3551.463843,3968.656917,4324.202324,4758.37705,5566.769491,6010.851368,5900.660865,6038.585256,6384.228441,6318.061087,6367.280013,6416.833012,6773.4868,7350.753587,7935.761763,7916.421153,8645.756469,6852.576699,7685.419214,9481.073354,10308.67917
CRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5020.635941,5174.632036,5635.082612,6025.46577,6276.249571,6515.337095,6568.444186,6890.168193,7306.038291,7563.244167,7879.47795,8190.074409,8460.652296,8862.994121,9365.327754,9898.929193,10799.5114,11841.90117,12471.67231,12273.8604,12927.56459,13614.2604,14463.74044,15232.07715,16393.80954,17525.14046,19201.74532,20499.34421,21498.03507,23339.60913,22099.86781,23862.36487,25936.76941,28111.58948
CSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7293.576337,7496.628837,7644.07421,7859.153826,8245.140057,8560.463576,8981.339209,9380.547938,9680.630807,10069.25057,10544.50714,10829.22694,11128.43749,11496.57526,12073.93671,12738.98079,13651.72998,14443.39189,14743.34575,14432.61109,14683.69639,15207.12149,15444.98014,15775.8838,16098.32236,16237.72833,16060.12776,17133.67185,17733.17996,18769.99575,17040.76607,20001.26974,26741.81605,31622.85586
CUB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CUW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21891.04536,23057.26136,23479.79733,23522.27489,23791.19741,24081.15121,24590.19237,25374.14299,26098.47115,25950.39504,25956.81076,26251.3628,25105.99247,24821.79628,24347.76049,24037.64863,23649.59149,24321.74674,24623.04131,25396.99677,21797.01905,25163.99366,29275.72017,32059.72223
CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75190.66008,77337.18706,76297.45816,69254.18102,66325.45743,66629.1627,64726.53111,63648.25391,63560.51418,64009.3168,65680.07483,68017.67583,71811.89174,72697.36729,66118.65452,74150.85809,81803.09765,86689.20888
CYP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13339.29688,13537.38867,14749.72266,14842.25391,15724.93555,17084.63086,17313.52539,17777.35938,18758.63477,19662.71094,21291.25781,22868.67188,23556.35547,24281.11133,25945.51758,27763.20313,30015.19141,32889.08984,34830.15234,33883.72266,33505.88281,33406.11328,31923.98828,30451.75586,30171.03125,31930.83398,35878.5,38415.10938,40925.52344,45116.68359,43354.08203,48740.36328,55972.41797,57065.87109
