"year","health_systems_costs","monetized_dalys_averted","in_2022_prices","cash_flow","method","p","run_id"
2020,1719365862.35272,22463021766.915,93247509.3943228,20650408395.168,"dalys_monetized_3","Relative_All AL disp",1
2021,1998129577.00807,26792647878.4656,90669963.93291,24703848337.5246,"dalys_monetized_3","Relative_All AL disp",1
2022,1908298898.99516,28100335657.4451,79034512.32,26113002246.1299,"dalys_monetized_3","Relative_All AL disp",1
2000,0,0,17057845.3243628,-17057845.3243628,"dalys_monetized_4","Relative_All AL disp",1
2001,0,0,29426964.6652375,-29426964.6652375,"dalys_monetized_4","Relative_All AL disp",1
2002,0,0,19411263.0122196,-19411263.0122196,"dalys_monetized_4","Relative_All AL disp",1
2003,0,0,37445648.5307549,-37445648.5307549,"dalys_monetized_4","Relative_All AL disp",1
2004,0,0,47808937.615146,-47808937.615146,"dalys_monetized_4","Relative_All AL disp",1
2005,0,0,73924661.3628008,-73924661.3628008,"dalys_monetized_4","Relative_All AL disp",1
2006,0,0,47508028.8390312,-47508028.8390312,"dalys_monetized_4","Relative_All AL disp",1
2007,0,0,119573904.611863,-119573904.611863,"dalys_monetized_4","Relative_All AL disp",1
2008,0,0,83246720.7199973,-83246720.7199973,"dalys_monetized_4","Relative_All AL disp",1
2009,0,0,60350912.4226288,-60350912.4226288,"dalys_monetized_4","Relative_All AL disp",1
2010,0,0,83188332.1659396,-83188332.1659396,"dalys_monetized_4","Relative_All AL disp",1
2011,879475730.530345,0,94800366.448838,-974276096.979183,"dalys_monetized_4","Relative_All AL disp",1
2012,936570667.65658,2266854977.80892,77163299.4713698,1253121010.68097,"dalys_monetized_4","Relative_All AL disp",1
2013,587783928.827337,2558030256.55668,81645883.5960594,1888600444.13328,"dalys_monetized_4","Relative_All AL disp",1
2014,979428619.665705,9915451556.13399,97376711.6301935,8838646224.83809,"dalys_monetized_4","Relative_All AL disp",1
2015,884432757.102468,7657129971.25293,104507974.159771,6668189239.99069,"dalys_monetized_4","Relative_All AL disp",1
2016,1049838380.99253,11732014312.5926,86919026.0354905,10595256905.5646,"dalys_monetized_4","Relative_All AL disp",1
2017,1581034774.88955,13146483755.6107,85429646.7507117,11480019333.9705,"dalys_monetized_4","Relative_All AL disp",1
2018,1285587419.01853,14620198055.3799,74774845.8504308,13259835790.511,"dalys_monetized_4","Relative_All AL disp",1
2019,1113306029.384,15234806556.5541,79415904.3850866,14042084622.7851,"dalys_monetized_4","Relative_All AL disp",1
2020,2386264822.70527,20530174832.0211,93247509.3943228,18050662499.9215,"dalys_monetized_4","Relative_All AL disp",1
2021,1962974103.08865,24442334481.1419,90669963.93291,22388690414.1203,"dalys_monetized_4","Relative_All AL disp",1
2022,2243833762.3045,25603329331.2204,79034512.32,23280461056.5959,"dalys_monetized_4","Relative_All AL disp",1
